Month,Day,Year,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
3,22,2014,Gurus Cafe,GURUS CAFE,7.53,debit,Restaurants,Discover :,,
3,21,2014,Target,Target,25.31,debit,Gift,Discover :,,
3,21,2014,Ba Adobe Lehi,BA ADOBE LEHI,1,debit,Restaurants,CREDIT CARD,,
3,20,2014,City,AMERICAN FORK CITY,66.82,debit,Utilities,CREDIT CARD,,
3,20,2014,Buffalo Wild Wings,BUFFALO WILD WINGS 0348,13.58,debit,Restaurants,CREDIT CARD,,
3,20,2014,Ba Adobe Lehi,BA ADOBE LEHI,0.67,debit,Restaurants,CREDIT CARD,,
3,20,2014,City,AMERICAN FORK CITY,96.03,debit,Utilities,CREDIT CARD,,
3,21,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
3,21,2014,Costco Gas,"PIN PurchasePIN Purchase #969576  COSTCO GAS #0733 198 NORTH 1200 EAST    LEHI, 03-21-2014 @ 14:23 Trace #032114230007334057 0322",52.75,debit,Gas & Fuel,Free Checking,,
3,21,2014,Check# 1141check# 1141 #1141,Check# 1141Check# 1141 #1141,146.46,debit,Groceries,Free Checking,,
3,21,2014,500 Index Fund Inv - Dividend,500 Index Fund Inv - Dividend,6.79,credit,Dividend & Cap Gains,Vanguard Account,,
3,21,2014,500 Index Fund Adm - Dividend,500 Index Fund Adm - Dividend,103.37,credit,Dividend & Cap Gains,Vanguard Account,,
3,20,2014,Rockymtn Pacificautomatic,ROCKYMTN/PACIFICAutomatic Debit,32.14,debit,Utilities,SHARE DRAFT NO MIN,,
3,18,2014,Check 1131,SHARE DRAFT #   1131,464.12,debit,Marc Tithing,SHARE DRAFT NO MIN,,
3,17,2014,Check 1130,SHARE DRAFT #   1130,40,debit,Utilities,SHARE DRAFT NO MIN,,
3,17,2014,Transfer to CREDIT CARD,CHASEAutomatic Debit,37.69,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
3,17,2014,Loan Pmtloan Roundpoint,"LOAN PMTLOAN PMT #24298  ROUNDPOINT         LOAN PMT, 03-17-2014 @   : 0 Trace #062001182422273",2374.78,debit,Mortgage & Rent,Free Checking,,
3,16,2014,7-Eleven,7-ELEVEN 36765,3.8,debit,Gas & Fuel,CREDIT CARD,,
3,16,2014,Fresh Mkt Am,FRESH MKT AM FORK,16.16,debit,test,CREDIT CARD,,
3,16,2014,Fresh Mkt Am,FRESH MKT AM FORK,2.87,debit,test,CREDIT CARD,,
3,15,2014,Late Fee,LATE FEE C_FEES,25,debit,test,Discover :,,
3,15,2014,Smith's Food,SMITHS FOOD #4136 PROVO UT C_SUPERMARKETS,3.28,debit,Groceries,Discover :,,
3,14,2014,Venmoautomatic,VENMOAutomatic Debit,3.43,debit,Fast Food,SHARE DRAFT NO MIN,,
3,14,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,37.69,credit,Credit Card Payment,CREDIT CARD,,
3,14,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,859.54,credit,Paycheck,SHARE DRAFT NO MIN,,
3,13,2014,Chevron,0212094 CHEVRON 0212 HOLLADAY UT C_GASOLINE,43.49,debit,Gas & Fuel,Discover :,,
3,13,2014,Transfer to Free Checking,"FTT   XXX454-009FTT   XXX454-009 #31314  mortgage, 03-13-2014 @ 22:35 Trace #",3000,debit,Transfer,REGULAR SHARE,,
3,13,2014,Transfer from REGULAR SHARE,"FTF   XXX454-001FTF   XXX454-001 #31314  FT Transfer Dep, 03-13-2014 @ 22:35 Trace #",3000,credit,Transfer,Free Checking,,
3,13,2014,Pizza Factory,PIZZA FACTORY,9.47,debit,Restaurants,CREDIT CARD,,
3,12,2014,Bear River Mutuainsurance,Bear River MutuaInsurance paymenAutomatic Debit,22.84,debit,Auto Insurance,SHARE DRAFT NO MIN,,
3,11,2014,Nf Roundpoinnf Roundpoin,NF-ROUNDPOINNF-ROUNDPOIN #24067,18,debit,Service Fee,Free Checking,,
3,10,2014,Transfer to CREDIT CARD,CHASEAutomatic Debit,120.99,debit,Credit Card Payment,SHARE DRAFT NO MIN,,
3,10,2014,Venmoautomatic,VENMOAutomatic Debit,4.5,debit,Fast Food,SHARE DRAFT NO MIN,,
3,10,2014,Wal-Mart,WAL-MART SC - #2511 AMERICAN FORKUT,21.77,debit,Shopping,Discover :,,
3,10,2014,Macey's,MACEY'S 8TH NORTH SSS OREM UTCASHOVER $ 50.00 PURC C_SUPERMARKETS,90.27,debit,Groceries,Discover :,,
3,10,2014,Home Depot,THE HOME DEPOT 4417,28.22,debit,Home Improvement,CREDIT CARD,,
3,10,2014,Payrollpayroll Crown H,"PAYROLLPAYROLL #23983  CROWN H.C.         PAYROLL, 03-10-2014 @   : 0 Trace #091000010953322",1310.22,credit,Paycheck,REGULAR SHARE,,
3,9,2014,Transfer from SHARE DRAFT NO MIN,Payment Thank You - Web,120.99,credit,Credit Card Payment,CREDIT CARD,,
3,9,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #869200  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 03-09-2014 @ 18:22 Trace #030918222400007942 0310",186.7,credit,Income,Free Checking,,
3,7,2014,Zerochaos Payropayroll Deduction,ZEROCHAOS1                 PAYROPAYROLL DEDUCTION,1001.39,credit,Paycheck,SHARE DRAFT NO MIN,,
3,7,2014,Fastfunevents Com,FASTFUNEVENTS.COM,18.38,debit,Amusement,CREDIT CARD,,
3,6,2014,Online Creditonline Utah 196 Nw State Road,"Online CreditOnline Credit #843287  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 03-06-2014 @ 19:11 Trace #030619114300007400 0307",792,credit,Income,Free Checking,,
