"id","month","day","year","description","amount","category","account","debit_or_credit","original_description","note","date"
"00000145717d41a37232f7f0001000f300940076","3","22","2014","Gurus Cafe","7.53","Restaurants","Discover :","debit",,"","2014.03.22"
"00000145717d41a965557ed2001000f300940076","3","21","2014","Target","25.31","Gift","Discover :","debit",,"","2014.03.21"
"00000145717d41a965557ed3001000f300940076","3","21","2014","Ba Adobe Lehi","1.0","Restaurants","CREDIT CARD","debit",,"","2014.03.21"
"00000145717d41a965557ed4001000f300940076","3","20","2014","City","66.82","Utilities","CREDIT CARD","debit",,"","2014.03.20"
"00000145717d41a965557ed5001000f300940076","3","20","2014","Buffalo Wild Wings","13.58","Restaurants","CREDIT CARD","debit",,"","2014.03.20"
"00000145717d41a965557ed6001000f300940076","3","20","2014","Ba Adobe Lehi","0.67","Restaurants","CREDIT CARD","debit",,"","2014.03.20"
"00000145717d41a965557ed7001000f300940076","3","20","2014","City","96.03","Utilities","CREDIT CARD","debit",,"","2014.03.20"
"00000145717d41a965557ed8001000f300940076","3","21","2014","Zerochaos Payropayroll Deduction","1001.39","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.03.21"
"00000145717d41a965557ed9001000f300940076","3","21","2014","Costco Gas","52.75","Gas & Fuel","Free Checking","debit",,"","2014.03.21"
"00000145717d41aa1b3a86f2001000f300940076","3","21","2014","Check# 1141check# 1141 #1141","146.46","Groceries","Free Checking","debit",,"","2014.03.21"
"00000145717d41aa1b3a86f3001000f300940076","3","21","2014","500 Index Fund Inv - Dividend","6.79","Dividend & Cap Gains","Vanguard Account","credit",,"","2014.03.21"
"00000145717d41aa1b3a86f4001000f300940076","3","21","2014","500 Index Fund Adm - Dividend","103.37","Dividend & Cap Gains","Vanguard Account","credit",,"","2014.03.21"
"00000145717d41aa1b3a86f5001000f300940076","3","20","2014","Rockymtn Pacificautomatic","32.14","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.03.20"
"00000145717d41aa1b3a86f6001000f300940076","3","18","2014","Check 1131","464.12","Marc Tithing","SHARE DRAFT NO MIN","debit",,"","2014.03.18"
"00000145717d41aa1b3a86f7001000f300940076","3","17","2014","Check 1130","40.0","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.03.17"
"00000145717d41aa1b3a86f8001000f300940076","3","17","2014","Transfer to CREDIT CARD","37.69","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.03.17"
"00000145717d41aa1b3a86f9001000f300940076","3","17","2014","Loan Pmtloan Roundpoint","2374.78","Mortgage & Rent","Free Checking","debit",,"","2014.03.17"
"00000145717d41aa1b3a86fa001000f300940076","3","16","2014","7-Eleven","3.8","Gas & Fuel","CREDIT CARD","debit",,"","2014.03.16"
"00000145717d41aa1b3a86fb001000f300940076","3","16","2014","Fresh Mkt Am","16.16","Groceries","CREDIT CARD","debit",,"","2014.03.16"
"00000145717d41aa1b3a86fc001000f300940076","3","16","2014","Fresh Mkt Am","2.87","Groceries","CREDIT CARD","debit",,"","2014.03.16"
"00000145717d41aa1b3a86fd001000f300940076","3","15","2014","Late Fee","25.0","Late Fee","Discover :","debit",,"","2014.03.15"
"00000145717d41aa1b3a86fe001000f300940076","3","15","2014","Smith's Food","3.28","Groceries","Discover :","debit",,"","2014.03.15"
