"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/25/2014","Thai Village","THAI VILLAGE - AMERICAN F","8.57","debit","Restaurants","CREDIT CARD","",""
"3/24/2014","Citydeals","CITYDEALS","42.72","debit","Amusement","Discover :","",""
"3/25/2014","Payrollpayroll Crown H","PAYROLLPAYROLL #24680  CROWN H.C.         PAYROLL, 03-25-2014 @   : 0 Trace #091000010693297","1788.19","credit","Paycheck","REGULAR SHARE","",""
"3/24/2014","Online Creditonline Utah 196 Nw State Road","Online CreditOnline Credit #998794  UTAH COMMUNITY CU 196 NW STATE RD        AMER, 03-24-2014 @ 21:04 Trace #032421041400009924 0325","225.90","credit","Income","Free Checking","",""
"3/24/2014","Transfer to CREDIT CARD","CHASEAutomatic Debit","22.83","debit","Credit Card Payment","SHARE DRAFT NO MIN","",""
"3/24/2014","Irs Treas Taxpayroll","IRS  TREAS 310               TAXPAYROLL DEDUCTION","2474.00","credit","Paycheck","SHARE DRAFT NO MIN","",""
"3/24/2014","Transfer to Discover :","E-PAYMENTE-PAYMENT #24614  DISCOVER           E-PAYMENT, 03-24-2014 @   : 0 Trace #091000019753125","414.46","debit","Credit Card Payment","Free Checking","",""
"3/24/2014","Fresh Mkt Am","FRESH MKT AM FORK","12.09","debit","Groceries","CREDIT CARD","",""
"3/23/2014","Ba Adobe Lehi","BA ADOBE LEHI 51255545","0.67","debit","Restaurants","CREDIT CARD","",""
"3/23/2014","Buffalo Wild Wings","BUFFALO WILD WINGS 0348","16.08","debit","Restaurants","CREDIT CARD","",""
"3/23/2014","City","AMERICAN FORK CITY","66.82","debit","Utilities","CREDIT CARD","",""
"3/23/2014","Transfer from SHARE DRAFT NO MIN","Payment Thank You - Web","22.83","credit","Credit Card Payment","CREDIT CARD","",""
"3/23/2014","Ba Adobe Lehi","BA ADOBE LEHI 51255545","1.00","debit","Restaurants","CREDIT CARD","",""
"3/23/2014","City","AMERICAN FORK CITY","96.03","debit","Utilities","CREDIT CARD","",""
"3/22/2014","Guru Cafe","GURU'S CAFE PROVO UT C_RESTAURANTS","8.00","debit","Restaurants","Discover :","",""
"3/22/2014","Holiday","HOLIDAY #51 SANDY UT C_GASOLINE","42.94","debit","Gas & Fuel","Discover :","",""
"3/22/2014","Transfer from Free Checking","INTERNET PAYMENT - THANK YOU C_PAYMENTSANDCREDITS","414.46","credit","Credit Card Payment","Discover :","",""
"3/21/2014","Target","TARGET AMERICAN FORKUT","25.31","debit","Gift","Discover :","",""
"3/21/2014","Zerochaos Payropayroll Deduction","ZEROCHAOS1                 PAYROPAYROLL DEDUCTION","1001.39","credit","Paycheck","SHARE DRAFT NO MIN","",""
"3/21/2014","Costco Gas","PIN PurchasePIN Purchase #969576  COSTCO GAS #0733 198 NORTH 1200 EAST    LEHI, 03-21-2014 @ 14:23 Trace #032114230007334057 0322","52.75","debit","Gas & Fuel","Free Checking","",""
"3/21/2014","Check# 1141check# 1141 #1141","Check# 1141Check# 1141 #1141","146.46","debit","Groceries","Free Checking","",""
"3/20/2014","Rockymtn Pacificautomatic","ROCKYMTN/PACIFICAutomatic Debit","32.14","debit","Utilities","SHARE DRAFT NO MIN","",""
"3/18/2014","Check 1131","SHARE DRAFT #   1131","464.12","debit","Marc Tithing","SHARE DRAFT NO MIN","",""
"3/17/2014","Check 1130","SHARE DRAFT #   1130","40.00","debit","Utilities","SHARE DRAFT NO MIN","",""
"3/17/2014","Chaseautomatic","CHASEAutomatic Debit","37.69","debit","Credit Card Payment","SHARE DRAFT NO MIN","",""
"3/17/2014","Loan Pmtloan Roundpoint","LOAN PMTLOAN PMT #24298  ROUNDPOINT         LOAN PMT, 03-17-2014 @   : 0 Trace #062001182422273","2374.78","debit","Mortgage & Rent","Free Checking","",""
"3/16/2014","7-Eleven","7-ELEVEN 36765","3.80","debit","Gas & Fuel","CREDIT CARD","",""
"3/16/2014","Fresh Mkt Am","FRESH MKT AM FORK","16.16","debit","Groceries","CREDIT CARD","",""
"3/16/2014","Fresh Mkt Am","FRESH MKT AM FORK","2.87","debit","Groceries","CREDIT CARD","",""
"3/15/2014","Late Fee","LATE FEE C_FEES","25.00","debit","Late Fee","Discover :","",""
"3/15/2014","Smith's Food","SMITHS FOOD #4136 PROVO UT C_SUPERMARKETS","3.28","debit","Groceries","Discover :","",""
"3/14/2014","Venmoautomatic","VENMOAutomatic Debit","3.43","debit","Fast Food","SHARE DRAFT NO MIN","",""
"3/14/2014","Transfer from SHARE DRAFT NO MIN","Payment Thank You - Web","37.69","credit","Credit Card Payment","CREDIT CARD","",""
"3/14/2014","Zerochaos Payropayroll Deduction","ZEROCHAOS1                 PAYROPAYROLL DEDUCTION","859.54","credit","Paycheck","SHARE DRAFT NO MIN","",""
"3/13/2014","Chevron","0212094 CHEVRON 0212 HOLLADAY UT C_GASOLINE","43.49","debit","Gas & Fuel","Discover :","",""
"3/13/2014","Transfer to Free Checking","FTT   XXX454-009FTT   XXX454-009 #31314  mortgage, 03-13-2014 @ 22:35 Trace #","3000.00","debit","Transfer","REGULAR SHARE","",""
"3/13/2014","Transfer from REGULAR SHARE","FTF   XXX454-001FTF   XXX454-001 #31314  FT Transfer Dep, 03-13-2014 @ 22:35 Trace #","3000.00","credit","Transfer","Free Checking","",""
"3/13/2014","Pizza Factory","PIZZA FACTORY","9.47","debit","Restaurants","CREDIT CARD","",""
