id,month,day,year,description,amount,category,account,debit_or_credit,original_description,note,p_guid
0000014572407fa86eea30f00010003200ab00a6,3,22,2014,Gurus Cafe,7.53,Restaurants,Discover :,debit,,,
0000014572407fb57565ce8d0010003200ab00a6,3,21,2014,Target,25.31,Gift,Discover :,debit,,,
0000014572407fb57565ce8e0010003200ab00a6,3,21,2014,Ba Adobe Lehi,1,Restaurants,CREDIT CARD,debit,,,
0000014572407fb57565ce8f0010003200ab00a6,3,20,2014,City,66.82,Utilities,CREDIT CARD,debit,,,
0000014572407fb6bc9cacd30010003200ab00a6,3,20,2014,Buffalo Wild Wings,13.58,Restaurants,CREDIT CARD,debit,,,
0000014572407fb6bc9cacd40010003200ab00a6,3,20,2014,Ba Adobe Lehi,0.67,Restaurants,CREDIT CARD,debit,,,
0000014572407fb6bc9cacd50010003200ab00a6,3,20,2014,City,96.03,Utilities,CREDIT CARD,debit,,,
0000014572407fb6bc9cacd60010003200ab00a6,3,21,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fb6bc9cacd70010003200ab00a6,3,21,2014,Costco Gas,52.75,Gas & Fuel,Free Checking,debit,,,
0000014572407fb6bc9cacd80010003200ab00a6,3,21,2014,Check# 1141check# 1141 #1141,146.46,Groceries,Free Checking,debit,,,
0000014572407fb6bc9cacd90010003200ab00a6,3,21,2014,500 Index Fund Inv - Dividend,6.79,Dividend & Cap Gains,Vanguard Account,credit,,,
0000014572407fb71bc1a2830010003200ab00a6,3,21,2014,500 Index Fund Adm - Dividend,103.37,Dividend & Cap Gains,Vanguard Account,credit,,,
0000014572407fb71bc1a2840010003200ab00a6,3,20,2014,Rockymtn Pacificautomatic,32.14,Utilities,SHARE DRAFT NO MIN,debit,,,
0000014572407fb71bc1a2850010003200ab00a6,3,18,2014,Check 1131,464.12,Marc Tithing,SHARE DRAFT NO MIN,debit,,,
0000014572407fb71bc1a2860010003200ab00a6,3,17,2014,Check 1130,40,Utilities,SHARE DRAFT NO MIN,debit,,,0000014572407fb6bc9cacd80010003200ab00a6
0000014572407fb71bc1a2870010003200ab00a6,3,17,2014,Transfer to CREDIT CARD,37.69,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fb71bc1a2880010003200ab00a6,3,17,2014,Loan Pmtloan Roundpoint,2374.78,Mortgage & Rent,Free Checking,debit,,,
0000014572407fb71bc1a2890010003200ab00a6,3,16,2014,7-Eleven,3.8,Gas & Fuel,CREDIT CARD,debit,,,
0000014572407fb8bdc20d120010003200ab00a6,3,16,2014,Fresh Mkt Am,16.16,Groceries,CREDIT CARD,debit,,,
0000014572407fb8bdc20d130010003200ab00a6,3,16,2014,Fresh Mkt Am,2.87,Groceries,CREDIT CARD,debit,,,
0000014572407fb8bdc20d140010003200ab00a6,3,15,2014,Late Fee,25,Late Fee,Discover :,debit,,,
0000014572407fb8bdc20d150010003200ab00a6,3,15,2014,Smith's Food,3.28,Groceries,Discover :,debit,,,
0000014572407fb8bdc20d160010003200ab00a6,3,14,2014,Venmoautomatic,3.43,Fast Food,SHARE DRAFT NO MIN,debit,,,
0000014572407fb8bdc20d170010003200ab00a6,3,14,2014,Transfer from SHARE DRAFT NO MIN,37.69,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fb8bdc20d180010003200ab00a6,3,14,2014,Zerochaos Payropayroll Deduction,859.54,Paycheck,SHARE DRAFT NO MIN,credit,,,
0000014572407fb8bdc20d190010003200ab00a6,3,13,2014,Chevron,43.49,Gas & Fuel,Discover :,debit,,,
0000014572407fb9c332a1b50010003200ab00a6,3,13,2014,Transfer to Free Checking,3000,Transfer,REGULAR SHARE,debit,,,
0000014572407fb9c332a1b60010003200ab00a6,3,13,2014,Transfer from REGULAR SHARE,3000,Transfer,Free Checking,credit,,,
0000014572407fb9c332a1b70010003200ab00a6,3,13,2014,Pizza Factory,9.47,Restaurants,CREDIT CARD,debit,,,
0000014572407fb9c332a1b80010003200ab00a6,3,12,2014,Bear River Mutuainsurance,22.84,Auto Insurance,SHARE DRAFT NO MIN,debit,,,
0000014572407fb9c332a1b90010003200ab00a6,3,11,2014,Nf Roundpoinnf Roundpoin,18,Service Fee,Free Checking,debit,,,
0000014572407fb9c332a1ba0010003200ab00a6,3,10,2014,Transfer to CREDIT CARD,120.99,Credit Card Payment,SHARE DRAFT NO MIN,debit,,,
0000014572407fb9c332a1bb0010003200ab00a6,3,10,2014,Venmoautomatic,4.5,Fast Food,SHARE DRAFT NO MIN,debit,,,
0000014572407fba2b63382c0010003200ab00a6,3,10,2014,Wal-Mart,21.77,Shopping,Discover :,debit,,,
0000014572407fba2b63382d0010003200ab00a6,3,10,2014,Macey's,90.27,Groceries,Discover :,debit,,,
0000014572407fba2b63382e0010003200ab00a6,3,10,2014,Home Depot,28.22,Home Improvement,CREDIT CARD,debit,,,
0000014572407fba2b63382f0010003200ab00a6,3,10,2014,Payrollpayroll Crown H,1310.22,Paycheck,REGULAR SHARE,credit,,,
0000014572407fba2b6338300010003200ab00a6,3,9,2014,Transfer from SHARE DRAFT NO MIN,120.99,Credit Card Payment,CREDIT CARD,credit,,,
0000014572407fba2b6338310010003200ab00a6,3,9,2014,Online Creditonline Utah 196 Nw State Road,186.7,Income,Free Checking,credit,,,
0000014572407fba2b6338320010003200ab00a6,3,7,2014,Zerochaos Payropayroll Deduction,1001.39,Paycheck,SHARE DRAFT NO MIN,credit,,,
